gene,evalue,hit,species,kTotal,kWithin,kOut,kDiff,behavioral_category,fire_ant_ortholog,honey_bee_ortholog,fpkm,ortholog,dN/dS
XLOC_001944,9.64E-176,gi|332017849|gb|EGI58509.1| Collagen type IV alpha-3-binding protein,Acromyrmex echinatior,1159.31327,720.7713665,438.541903,282.2294636,all others,0,0,17.58416667,neither,NA
XLOC_001945,NA,,,229.3441965,75.37676771,153.9674288,-78.59066111,all others,0,0,4.140416667,neither,NA
XLOC_001946,NA,,,403.2836945,175.4675393,227.8161552,-52.34861594,all others,0,0,2.59625,neither,NA
XLOC_001947,0,gi|332028774|gb|EGI68803.1| Bromodomain-containing protein 7,Acromyrmex echinatior,1418.133438,883.1195614,535.0138767,348.1056846,all others,1,1,13.07166667,both,0.0561
XLOC_001948,0,gi|307175300|gb|EFN65330.1| Pre-mRNA-splicing factor Slu7,Camponotus floridanus,439.468562,204.5862322,234.8823299,-30.29609765,all others,1,1,9.408333333,both,0.0508
XLOC_001949,0,gi|307175300|gb|EFN65330.1| Pre-mRNA-splicing factor Slu7,Camponotus floridanus,1448.817783,549.6443263,899.1734562,-349.52913,all others,0,0,5.207916667,neither,NA
XLOC_001950,NA,,,1535.831737,868.3141381,667.5175991,200.796539,all others,0,0,7.9975,neither,NA
XLOC_001951,4.10E-11,gi|195472859|ref|XP_002088716.1| GE18722,Drosophila yakuba,334.1858846,96.36681922,237.8190654,-141.4522462,nurse,1,1,2.990833333,both,0.1055
XLOC_001952,1.90E-177,gi|307180333|gb|EFN68366.1| Cyclic nucleotide-gated channel cone photoreceptor subunit alpha,Camponotus floridanus,1150.333357,425.6369863,724.6963711,-299.0593848,all others,1,0,2.49875,Sinv only,0.0843
XLOC_001953,2.43E-49,gi|332028629|gb|EGI68664.1| Epidermal growth factor receptor substrate 15-like 1,Acromyrmex echinatior,961.8845613,576.9049215,384.9796398,191.9252817,all others,1,0,9.88375,Sinv only,0.1864
XLOC_001954,4.70E-106,gi|332023759|gb|EGI63983.1| Putative methyltransferase BCDIN3D,Acromyrmex echinatior,893.5266909,129.9275958,763.5990951,-633.6714993,all others,1,1,5.435416667,both,0.1681
XLOC_001955,0,"gi|307180366|gb|EFN68392.1| Malate dehydrogenase, mitochondrial",Camponotus floridanus,371.7207812,179.0485569,192.6722244,-13.62366755,nurse,1,1,267.0795833,both,0.1357
XLOC_001957,NA,,,377.8302657,79.50223951,298.3280262,-218.8257866,nurse,0,1,5.271666667,Amel only,NA
XLOC_001959,0,gi|332020326|gb|EGI60749.1| GRAM domain-containing protein 1B,Acromyrmex echinatior,1793.613776,1024.407789,769.2059876,255.2018012,all others,1,1,16.97375,both,0.3212
XLOC_001960,1.58E-125,gi|307172448|gb|EFN63901.1| UPF0293 protein C16orf42,Camponotus floridanus,1695.892933,502.6880447,1193.204889,-690.516844,all others,1,1,24.93833333,both,0.0947
XLOC_001962,NA,,,337.9293816,137.9196657,200.009716,-62.09005028,all others,0,0,14.08541667,neither,NA
XLOC_001963,8.81E-52,"gi|332030419|gb|EGI70107.1| cGMP-dependent protein kinase, isozyme 2 forms cD5/T2",Acromyrmex echinatior,146.108667,30.19831233,115.9103547,-85.71204232,all others,0,0,1.387916667,neither,NA
XLOC_001964,5.52E-28,"gi|332030420|gb|EGI70108.1| cGMP-dependent protein kinase 1, beta isozyme",Acromyrmex echinatior,352.4389089,178.9917121,173.4471969,5.544515179,all others,0,0,1.165416667,neither,NA
XLOC_001965,NA,,,370.330565,159.6055755,210.7249895,-51.11941406,all others,1,0,36.5275,Sinv only,0.0178
XLOC_001966,0,gi|332026170|gb|EGI66312.1| Lysine-specific demethylase 5A,Acromyrmex echinatior,327.2029146,29.26142165,297.941493,-268.6800713,all others,0,0,17.67375,neither,NA
XLOC_001967,NA,,,139.326399,20.15794031,119.1684587,-99.01051834,all others,0,0,2.80125,neither,NA
XLOC_001968,NA,,,860.9860323,535.8497191,325.1363133,210.7134058,all others,0,0,8.77,neither,NA
XLOC_001969,0,gi|332030208|gb|EGI69991.1| Cytochrome P450 9e2,Acromyrmex echinatior,1621.595771,933.4893603,688.1064102,245.3829501,all others,1,0,21.74375,Sinv only,0.2525
XLOC_001970,NA,,,249.4246492,98.7486032,150.676046,-51.92744281,all others,0,0,4.884583333,neither,NA
XLOC_001971,1.36E-42,gi|332025628|gb|EGI65790.1| Glycosyltransferase 25 family member,Acromyrmex echinatior,94.73408875,17.9099392,76.82414955,-58.91421034,all others,1,0,3.59625,Sinv only,0.0824
XLOC_001973,NA,,,317.8708251,111.2767584,206.5940667,-95.31730827,all others,0,0,1553.382083,neither,NA
XLOC_001974,NA,,,184.1544439,79.34175612,104.8126878,-25.47093171,all others,0,0,11.17208333,neither,NA
XLOC_001976,1.64E-75,gi|332024999|gb|EGI65186.1| Adapter molecule Crk,Acromyrmex echinatior,396.4243972,181.4942975,214.9300997,-33.43580213,nurse,0,0,2.25625,neither,NA
XLOC_001977,8.06E-178,gi|332024999|gb|EGI65186.1| Adapter molecule Crk,Acromyrmex echinatior,769.9517309,486.2210517,283.7306792,202.4903725,all others,1,1,17.90708333,both,0.0292
XLOC_001978,7.91E-41,gi|332020037|gb|EGI60488.1| Transcription elongation factor 1-like protein,Acromyrmex echinatior,1660.834489,556.8405795,1103.99391,-547.1533304,all others,1,1,14.62333333,both,0.022
XLOC_001980,1.33E-96,gi|307170734|gb|EFN62859.1| Pre-mRNA-splicing factor Syf2,Camponotus floridanus,224.1781722,97.00217678,127.1759954,-30.17381864,all others,0,0,23.48166667,neither,NA
XLOC_001981,5.58E-134,gi|307170734|gb|EFN62859.1| Pre-mRNA-splicing factor Syf2,Camponotus floridanus,160.5063398,61.07269628,99.43364349,-38.36094722,all others,1,1,9.19625,both,0.0517
XLOC_001982,1.60E-23,gi|332021180|gb|EGI61565.1| Putative odorant receptor 13a,Acromyrmex echinatior,181.4160848,58.78421166,122.6318731,-63.84766144,all others,0,0,0.918333333,neither,NA
XLOC_001983,0,gi|332024073|gb|EGI64290.1| Synaptic vesicle glycoprotein 2B,Acromyrmex echinatior,397.496844,56.2176445,341.2791995,-285.061555,nurse,1,1,6.821666667,both,0.4291
XLOC_001984,NA,,,238.186524,106.7762138,131.4103102,-24.6340964,all others,0,0,2.2725,neither,NA
XLOC_001985,5.39E-68,gi|332023800|gb|EGI64024.1| Translocation protein SEC63-like protein,Acromyrmex echinatior,1656.443805,877.5933256,778.8504796,98.74284599,all others,0,0,11.11375,neither,NA
XLOC_001986,0,gi|332023801|gb|EGI64025.1| Sphingomyelin synthase-related 1,Acromyrmex echinatior,689.739568,301.2594063,388.4801616,-87.22075528,all others,1,1,8.47,both,0.0655
XLOC_001987,NA,,,236.4813154,75.75250309,160.7288123,-84.97630925,nurse,0,0,1.800416667,neither,NA
XLOC_001988,NA,,,181.9703204,55.65195725,126.3183632,-70.66640593,all others,0,0,2.025,neither,NA
XLOC_001989,NA,,,228.197546,74.49997458,153.6975714,-79.19759686,all others,0,0,1.053333333,neither,NA
XLOC_001990,NA,,,133.9153065,24.65908119,109.2562254,-84.59714416,all others,0,0,1.114166667,neither,NA
XLOC_001991,NA,,,125.2430591,29.20970563,96.03335349,-66.82364786,all others,0,0,2.02125,neither,NA
XLOC_001992,NA,,,851.0549076,502.4168817,348.638026,153.7788557,all others,0,0,1.17125,neither,NA
XLOC_001994,1.43E-07,gi|157106442|ref|XP_001649324.1| zinc finger protein,Aedes aegypti,1090.776149,595.2717074,495.5044415,99.76726581,all others,1,1,15.04958333,both,0.284
XLOC_001996,6.34E-67,gi|332023953|gb|EGI64171.1| DNA (cytosine-5)-methyltransferase PliMCI,Acromyrmex echinatior,250.2845137,119.3790846,130.905429,-11.52634442,all others,1,0,8.654166667,Sinv only,0.1869
XLOC_001997,NA,,,472.1986966,268.8023009,203.3963957,65.4059052,nurse,0,0,10.19791667,neither,NA
XLOC_001998,NA,,,773.2169192,397.6888237,375.5280956,22.16072812,all others,0,0,10.55458333,neither,NA
XLOC_001999,4.06E-89,gi|307181336|gb|EFN68970.1| Protein pellino,Camponotus floridanus,336.7150006,168.97058,167.7444207,1.226159286,all others,0,0,28.05291667,neither,NA
XLOC_002000,NA,,,623.4522227,311.9205918,311.531631,0.388960771,all others,0,0,1.400833333,neither,NA
XLOC_002002,0,gi|307180390|gb|EFN68416.1| Neurofibromin,Camponotus floridanus,183.741834,16.04274714,167.6990868,-151.6563397,all others,1,1,5.239166667,both,0.1173
XLOC_002003,NA,,,1380.415521,804.4512362,575.964285,228.4869512,forager,0,0,4.777916667,neither,NA
XLOC_002004,NA,,,64.55959672,14.85890915,49.70068757,-34.84177841,all others,0,0,1.483333333,neither,NA
XLOC_002005,1.84E-129,gi|332030160|gb|EGI69954.1| Eukaryotic translation initiation factor 2A,Acromyrmex echinatior,1789.316444,1074.956721,714.3597229,360.5969984,all others,0,0,6.63875,neither,NA
XLOC_002006,NA,,,544.1200567,305.0240665,239.0959902,65.9280763,all others,0,0,2.112083333,neither,NA
XLOC_002010,2.58E-99,gi|332024530|gb|EGI64728.1| E3 ubiquitin-protein ligase UBR5,Acromyrmex echinatior,476.4295272,210.2803275,266.1491997,-55.86887225,all others,0,0,22.23916667,neither,NA
XLOC_002011,NA,,,1024.006902,677.3580902,346.6488113,330.7092789,forager,0,0,1.557916667,neither,NA
XLOC_002012,3.91E-44,gi|307176323|gb|EFN65942.1| Afadin,Camponotus floridanus,1245.255294,566.7653175,678.4899762,-111.7246587,all others,0,1,19.78958333,Amel only,NA
XLOC_002013,0,gi|307189890|gb|EFN74134.1| GTPase-activating Rap/Ran-GAP domain-like protein 3,Camponotus floridanus,628.5061482,150.4555878,478.0505604,-327.5949726,all others,1,1,19.685,both,0.0797
XLOC_002015,NA,,,121.6229413,51.26502856,70.35791278,-19.09288421,all others,0,0,23.86416667,neither,NA
XLOC_002017,0,gi|332028974|gb|EGI68989.1| GTP-binding protein 1,Acromyrmex echinatior,404.2607381,212.6301202,191.6306179,20.99950228,all others,1,1,28.19333333,both,0.0163
XLOC_002018,3.67E-178,gi|332028974|gb|EGI68989.1| GTP-binding protein 1,Acromyrmex echinatior,262.676588,34.64420605,228.0323819,-193.3881759,nurse,0,0,5.125416667,neither,NA
XLOC_002021,NA,,,340.0309287,140.7214965,199.3094321,-58.58793562,all others,0,0,1.737083333,neither,NA
XLOC_002023,NA,,,239.4591698,119.6044337,119.8547361,-0.25030248,all others,0,0,1.501666667,neither,NA
XLOC_002024,0,"gi|332021298|gb|EGI61677.1| Reticulon-4-interacting protein 1, mitochondrial",Acromyrmex echinatior,189.6512727,81.94835685,107.7029158,-25.754559,all others,1,1,18.17041667,both,0.2064
XLOC_002025,0,gi|332030135|gb|EGI69929.1| Broad-complex core protein isoform 6,Acromyrmex echinatior,607.090125,337.8116297,269.2784953,68.53313435,forager,1,1,16.4975,both,0.221
XLOC_002027,1.35E-92,gi|307208756|gb|EFN86033.1| Dystrophin-like protein 1,Harpegnathos saltator,1039.175118,497.2867185,541.8883999,-44.60168146,all others,1,0,19.06416667,Sinv only,0.3128
XLOC_002028,NA,,,1229.581904,690.9752728,538.6066313,152.3686415,forager,0,0,3.447916667,neither,NA
XLOC_002031,5.50E-70,gi|332024352|gb|EGI64551.1| Luciferin 4-monooxygenase,Acromyrmex echinatior,607.6190114,89.13567229,518.4833391,-429.3476668,all others,0,0,38.60625,neither,NA
XLOC_002032,0,"gi|332020413|gb|EGI60833.1| Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B",Acromyrmex echinatior,1654.056375,520.4037022,1133.652672,-613.2489702,all others,0,1,20.28125,Amel only,NA
XLOC_002033,0,gi|307167487|gb|EFN61060.1| Xenotropic and polytropic retrovirus receptor 1,Camponotus floridanus,731.4244229,388.4458408,342.9785821,45.46725865,all others,1,1,37.7025,both,0.0576
XLOC_002034,0,gi|332020416|gb|EGI60836.1| Serine/threonine-protein phosphatase 6 regulatory subunit 2,Acromyrmex echinatior,1762.936272,971.4143568,791.5219154,179.8924414,all others,1,1,34.58708333,both,0.161
XLOC_002035,0,gi|307167484|gb|EFN61057.1| Probable cytochrome P450 303a1,Camponotus floridanus,271.6103678,130.1877632,141.4226045,-11.23484132,all others,1,1,1.068333333,both,0.1418
XLOC_002036,2.42E-150,"gi|332020411|gb|EGI60831.1| Protein RSM22-like protein, mitochondrial",Acromyrmex echinatior,155.0420411,15.05605982,139.9859812,-124.9299214,all others,1,1,20.33166667,both,0.2116
XLOC_002037,NA,,,294.2828234,139.1976868,155.0851366,-15.88744975,all others,0,0,12.27333333,neither,NA
XLOC_002038,1.34E-40,gi|195029177|ref|XP_001987451.1| GH19958,Drosophila grimshawi,629.8759169,170.330286,459.5456309,-289.2153449,all others,1,1,22.27625,both,0.0352
XLOC_002039,NA,,,182.0839732,66.11734673,115.9666264,-49.84927971,all others,0,0,5.327083333,neither,NA
XLOC_002040,0,gi|332019906|gb|EGI60367.1| Ras GTPase-activating protein 3,Acromyrmex echinatior,1110.909851,620.2849093,490.6249418,129.6599675,all others,1,1,6.712083333,both,0.1717
XLOC_002041,NA,,,1440.077787,580.8634785,859.2143085,-278.35083,all others,0,0,7.590833333,neither,NA
XLOC_002043,2.39E-168,gi|332027528|gb|EGI67605.1| Putative G-protein coupled receptor 52,Acromyrmex echinatior,715.4123855,428.8828301,286.5295555,142.3532746,all others,1,1,8.149583333,both,0.0329
XLOC_002044,NA,,,549.5953859,232.3784416,317.2169443,-84.83850276,all others,0,0,1.916666667,neither,NA
XLOC_002045,0,gi|332022994|gb|EGI63259.1| tRNA-dihydrouridine synthase 2-like protein,Acromyrmex echinatior,493.0278036,253.6119504,239.4158532,14.19609715,all others,1,1,6.67625,both,0.1013
XLOC_002046,NA,,,821.6196435,489.3278904,332.2917531,157.0361373,all others,1,1,313.91625,both,0.0262
XLOC_002047,0,gi|332025578|gb|EGI65741.1| Receptor-type tyrosine-protein phosphatase beta,Acromyrmex echinatior,741.0803324,290.3063034,450.774029,-160.4677257,forager,1,0,34.56416667,Sinv only,0.4507
XLOC_002048,NA,,,104.8298278,27.30065709,77.52917072,-50.22851363,all others,0,0,1.205,neither,NA
XLOC_002049,NA,,,446.3248181,224.6893205,221.6354976,3.05382295,all others,0,0,1.377916667,neither,NA
XLOC_002050,0,gi|307185285|gb|EFN71385.1| Trinucleotide repeat-containing gene 6A protein,Camponotus floridanus,769.7349984,465.7643424,303.970656,161.7936864,all others,0,0,4.442083333,neither,NA
XLOC_002051,2.73E-19,gi|307174137|gb|EFN64795.1| Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase,Camponotus floridanus,457.5063607,89.79187488,367.7144858,-277.922611,all others,0,0,14.95083333,neither,NA
XLOC_002054,0,gi|332029979|gb|EGI69804.1| Plexin domain-containing protein 2,Acromyrmex echinatior,1000.225093,263.4223265,736.8027669,-473.3804404,all others,0,0,70.70958333,neither,NA
XLOC_002055,0,gi|332018812|gb|EGI59371.1| Retinoblastoma-binding protein 5,Acromyrmex echinatior,427.319213,159.5416229,267.7775901,-108.2359672,all others,1,1,8.98375,both,0.001
XLOC_002056,NA,,,423.9462983,232.44062,191.5056783,40.93494171,all others,0,0,2.135416667,neither,NA
XLOC_002058,2.99E-128,gi|307168302|gb|EFN61508.1| Putative carbonic anhydrase-like protein 2,Camponotus floridanus,646.4440702,106.0350755,540.4089948,-434.3739193,all others,1,1,6.275416667,both,0.1773
XLOC_002059,6.68E-159,gi|332020872|gb|EGI61270.1| SET domain-containing protein 3,Acromyrmex echinatior,258.8957577,122.7870763,136.1086814,-13.32160515,all others,1,0,8.132083333,Sinv only,0.1257
XLOC_002060,2.09E-10,gi|195132510|ref|XP_002010686.1| GI21569,Drosophila mojavensis,206.2351472,15.45515771,190.7799895,-175.3248318,all others,1,1,1.10125,both,0.2376
XLOC_002061,NA,,,1505.951625,745.4635132,760.4881123,-15.02459917,forager,0,0,8.03,neither,NA
XLOC_002063,0,gi|307208418|gb|EFN85797.1| Luciferin 4-monooxygenase,Harpegnathos saltator,954.565283,672.3027096,282.2625734,390.0401362,forager,0,0,7.769166667,neither,NA
XLOC_002064,7.01E-18,gi|194748294|ref|XP_001956583.1| GF24517,Drosophila ananassae,92.00380122,33.47241476,58.53138646,-25.05897169,all others,1,0,14.98291667,Sinv only,0.2449
XLOC_002067,3.37E-10,gi|332017459|gb|EGI58182.1| Ankyrin repeat domain-containing protein 13C,Acromyrmex echinatior,405.6174004,215.8930279,189.7243725,26.16865539,nurse,0,0,14.37041667,neither,NA
XLOC_002068,0,gi|332016890|gb|EGI57699.1| Protein SERAC1,Acromyrmex echinatior,348.8036722,180.4332188,168.3704534,12.06276534,nurse,1,1,4.708333333,both,0.1213
XLOC_002069,3.65E-103,gi|307188465|gb|EFN73214.1| Protein SERAC1,Camponotus floridanus,438.829095,135.0872606,303.7418344,-168.6545737,nurse,0,1,2.966666667,Amel only,NA
XLOC_002071,0,gi|332023895|gb|EGI64115.1| Pancreatic lipase-related protein 1,Acromyrmex echinatior,131.8126137,52.95253408,78.86007962,-25.90754554,all others,1,1,3.033333333,both,0.1964
XLOC_002072,NA,,,297.7056845,126.2623132,171.4433713,-45.18105808,all others,0,0,3.235416667,neither,NA
XLOC_002073,NA,,,583.7719236,327.9027259,255.8691977,72.0335282,all others,0,0,1.979583333,neither,NA
XLOC_002074,NA,,,453.9861975,132.0431614,321.943036,-189.8998746,nurse,0,0,12.11041667,neither,NA
XLOC_002075,0,gi|332021994|gb|EGI62320.1| Protein furry-like protein-like protein,Acromyrmex echinatior,1321.76275,159.9943633,1161.768387,-1001.774023,all others,1,0,24.05666667,Sinv only,0.0194
XLOC_002077,NA,,,460.209115,173.7241207,286.4849943,-112.7608736,all others,0,0,1.26375,neither,NA
XLOC_002078,4.58E-14,"gi|332030184|gb|EGI69978.1| Ribosome-releasing factor 2, mitochondrial",Acromyrmex echinatior,159.32235,62.23104003,97.09131,-34.86026997,all others,0,0,1.14125,neither,NA
XLOC_002079,5.35E-70,gi|332016453|gb|EGI57366.1| Sorting nexin-4,Acromyrmex echinatior,377.3725842,134.9574301,242.4151541,-107.4577239,all others,0,0,23.31583333,neither,NA
XLOC_002080,2.08E-123,gi|307195057|gb|EFN77115.1| Epidermal retinal dehydrogenase 2,Harpegnathos saltator,567.5433641,197.4736708,370.0696933,-172.5960225,nurse,0,0,8.025,neither,NA
XLOC_002081,2.50E-66,gi|307199451|gb|EFN80064.1| Guanine nucleotide-binding protein G(s) subunit alpha,Harpegnathos saltator,604.8531244,176.1713969,428.6817274,-252.5103305,all others,1,0,27.08916667,Sinv only,0.1392
XLOC_002082,NA,,,482.7811564,287.0813878,195.6997686,91.38161924,all others,0,0,4.919583333,neither,NA
XLOC_002083,NA,,,154.0802488,77.59753655,76.48271226,1.114824295,all others,0,0,1.221666667,neither,NA
XLOC_002084,NA,,,209.2932081,89.35868116,119.9345269,-30.57584577,all others,0,0,12.0175,neither,NA
XLOC_002085,NA,,,282.6017932,139.3068462,143.294947,-3.988100861,all others,0,0,3.217083333,neither,NA
XLOC_002086,NA,,,1252.289871,835.5944921,416.6953793,418.8991128,forager,0,0,11.12666667,neither,NA
XLOC_002087,NA,,,691.6812197,367.8350211,323.8461986,43.98882251,all others,0,0,5.515833333,neither,NA
XLOC_002088,8.74E-142,gi|307203963|gb|EFN82870.1| DENN domain-containing protein 1A,Harpegnathos saltator,602.1260599,283.3617669,318.7642929,-35.402526,all others,0,0,15.09541667,neither,NA
XLOC_002089,NA,,,750.5477928,445.5019147,305.0458781,140.4560366,all others,0,0,3.969166667,neither,NA
XLOC_002090,NA,,,260.7859326,110.9961966,149.7897359,-38.7935393,all others,0,0,1.720833333,neither,NA
XLOC_002091,NA,,,137.2440707,47.50772491,89.73634581,-42.2286209,all others,0,0,1.799166667,neither,NA
XLOC_002092,NA,,,761.4778483,381.3870457,380.0908026,1.29624309,all others,0,0,7.176666667,neither,NA
XLOC_002093,NA,,,721.2200915,481.1337385,240.086353,241.0473855,all others,0,0,33.59416667,neither,NA
XLOC_002095,1.64E-44,gi|307213219|gb|EFN88714.1| Serum response factor-like protein,Harpegnathos saltator,188.2351226,69.51562002,118.7195026,-49.20388261,all others,1,1,4.766666667,both,0.0117
XLOC_002096,NA,,,107.957802,17.25485586,90.70294617,-73.44809032,all others,0,0,5.461666667,neither,NA
XLOC_002097,3.51E-26,gi|332025918|gb|EGI66074.1| Serine/threonine-protein kinase VRK1,Acromyrmex echinatior,138.9469483,51.01887196,87.92807636,-36.90920439,all others,0,0,2.374583333,neither,NA
XLOC_002098,0,gi|332021727|gb|EGI62083.1| TGF-beta receptor type-1,Acromyrmex echinatior,303.7091234,189.498545,114.2105784,75.28796652,all others,1,1,12.41541667,both,0.0283
XLOC_002100,NA,,,121.7509834,31.07948339,90.67149998,-59.5920166,all others,0,0,1.125416667,neither,NA
XLOC_002101,NA,,,511.0558361,194.5140772,316.5417589,-122.0276817,all others,0,0,2.260416667,neither,NA
XLOC_002102,NA,,,189.9223713,24.90835355,165.0140178,-140.1056642,all others,0,0,2.02375,neither,NA
XLOC_002103,NA,,,413.1453375,222.7020906,190.4432469,32.25884365,all others,0,0,1.6,neither,NA
XLOC_002105,4.46E-36,gi|307178291|gb|EFN67063.1| Homeobox protein onecut,Camponotus floridanus,816.6621821,461.0305524,355.6316297,105.3989227,all others,1,0,10.08708333,Sinv only,0.0155
XLOC_002106,NA,,,536.9643664,255.5003349,281.4640315,-25.96369658,nurse,0,0,3.00875,neither,NA
XLOC_002108,4.98E-45,gi|307189960|gb|EFN74196.1| SEC14-like protein 2,Camponotus floridanus,119.1751296,11.67032646,107.5048032,-95.8344767,all others,0,0,30.56833333,neither,NA
XLOC_002109,NA,,,1149.539046,467.0577958,682.4812501,-215.4234543,all others,0,0,3.76125,neither,NA
XLOC_002110,NA,,,357.2603829,126.6339481,230.6264348,-103.9924867,all others,0,0,13.41291667,neither,NA
XLOC_002111,0,gi|332025733|gb|EGI65891.1| Protein phosphatase 1 regulatory subunit 12A,Acromyrmex echinatior,348.668413,42.15850554,306.5099075,-264.3514019,all others,1,1,19.2175,both,0.0907
XLOC_002113,NA,,,77.50552647,26.64253838,50.86298809,-24.2204497,all others,0,0,1.412916667,neither,NA
XLOC_002114,1.89E-73,gi|332016694|gb|EGI57537.1| DOMON domain-containing protein,Acromyrmex echinatior,117.6344861,46.82230237,70.81218373,-23.98988136,all others,1,0,1.90875,Sinv only,0.0584
XLOC_002115,NA,,,172.7224035,81.56945936,91.15294416,-9.583484793,all others,0,0,3.503333333,neither,NA
XLOC_002117,0,gi|332030883|gb|EGI70519.1| Lamin Dm0,Acromyrmex echinatior,1683.936653,912.9500051,770.9866482,141.9633569,forager,1,1,71.26291667,both,0.0625
XLOC_002118,1.26E-104,gi|332030882|gb|EGI70518.1| Tsukushin,Acromyrmex echinatior,495.0409362,244.20537,250.8355662,-6.630196192,all others,1,1,10.88458333,both,0.0116
XLOC_002120,0,gi|332022468|gb|EGI62775.1| F-box/LRR-repeat protein 16,Acromyrmex echinatior,421.4828887,171.2055339,250.2773549,-79.071821,all others,1,1,21.59125,both,0.0729
XLOC_002121,2.61E-88,gi|332024532|gb|EGI64730.1| Williams-Beuren syndrome chromosomal region 16 protein-like protein,Acromyrmex echinatior,257.334304,101.8107074,155.5235966,-53.71288917,all others,0,0,5.778333333,neither,NA
XLOC_002122,1.04E-12,gi|332027641|gb|EGI67709.1| Sodium/potassium-transporting ATPase subunit alpha,Acromyrmex echinatior,170.6474838,59.02175805,111.6257258,-52.60396774,all others,0,0,3.0875,neither,NA
XLOC_002123,NA,,,569.7183693,150.1951397,419.5232296,-269.32809,all others,0,0,16.60125,neither,NA
XLOC_002124,0,gi|307208281|gb|EFN85713.1| Tryptophan 5-hydroxylase 1,Harpegnathos saltator,511.0456302,241.732722,269.3129081,-27.58018607,all others,1,1,2.030416667,both,0.1391
XLOC_002125,0,gi|332026465|gb|EGI66593.1| JNK-interacting protein 1,Acromyrmex echinatior,566.0930507,244.542059,321.5509917,-77.00893268,all others,1,1,13.42208333,both,0.0199
XLOC_002126,1.74E-13,gi|304385903|ref|ZP_07368246.1| possible SD repeat-containing cell surface protein precursor,Pediococcus acidilactici DSM 20284,214.4579112,74.33587128,140.1220399,-65.78616859,all others,1,1,4.75,both,0.4423
XLOC_002127,5.39E-32,gi|357540561|gb|EHJ24574.1| subtilisin-like serine protease,Pediococcus acidilactici MA18/5M,756.3816388,285.5264842,470.8551545,-185.3286703,forager,1,1,4.476666667,both,0.2331
XLOC_002128,NA,,,574.9193396,332.2779815,242.641358,89.63662348,all others,0,0,2.09875,neither,NA
XLOC_002129,0,gi|332024462|gb|EGI64660.1| Transmembrane protein 185B,Acromyrmex echinatior,681.4390823,422.5341208,258.9049615,163.6291593,all others,1,1,16.72916667,both,0.0227
XLOC_002130,0,gi|332024459|gb|EGI64657.1| Beta-catenin-like protein 1,Acromyrmex echinatior,530.398877,270.2707666,260.1281104,10.14265616,all others,1,1,10.96416667,both,0.0688
XLOC_002131,1.73E-125,gi|332024458|gb|EGI64656.1| Unconventional prefoldin RPB5 interactor,Acromyrmex echinatior,291.4310299,83.24720878,208.1838211,-124.9366124,nurse,1,1,4.40375,both,0.2198
XLOC_002132,0,"gi|332024460|gb|EGI64658.1| Protein midA-like protein, mitochondrial",Acromyrmex echinatior,242.9719278,60.66754876,182.3043791,-121.6368303,nurse,1,1,3.396666667,both,0.0194
XLOC_002133,1.95E-70,"gi|307196207|gb|EFN77864.1| Cytochrome c oxidase subunit 5B, mitochondrial",Harpegnathos saltator,568.9162055,343.4989146,225.4172909,118.0816238,nurse,0,1,523.29625,Amel only,NA
XLOC_002134,1.39E-129,gi|307184275|gb|EFN70741.1| Peptide methionine sulfoxide reductase,Camponotus floridanus,290.7755085,34.31321702,256.4622915,-222.1490745,all others,1,1,61.99208333,both,0.1543
XLOC_002135,2.42E-22,gi|307188496|gb|EFN73233.1| Muscarinic acetylcholine receptor DM1,Camponotus floridanus,419.1496331,224.4671372,194.6824959,29.78464129,all others,0,0,11.11416667,neither,NA
XLOC_002137,1.53E-105,gi|307178899|gb|EFN67427.1| Cyclin-dependent kinase 5 activator 1,Camponotus floridanus,182.691312,19.32046289,163.3708491,-144.0503862,all others,1,1,9.363333333,both,0.029
XLOC_002141,NA,,,194.1230791,21.8755131,172.247566,-150.3720529,all others,0,0,3.340416667,neither,NA
XLOC_002143,NA,,,947.0582923,657.6262804,289.4320119,368.1942685,forager,0,0,1.545416667,neither,NA
XLOC_002144,NA,,,287.553237,158.3178065,129.2354304,29.08237606,all others,0,0,1.5825,neither,NA
XLOC_002145,NA,,,225.8881205,16.71008729,209.1780333,-192.467946,all others,0,0,4.63875,neither,NA
XLOC_002146,4.19E-72,gi|307204576|gb|EFN83239.1| Zinc finger protein KIAA0543,Harpegnathos saltator,1231.683322,752.6308654,479.0524566,273.5784087,forager,0,0,7.24625,neither,NA
XLOC_002147,5.36E-73,gi|307168159|gb|EFN61438.1| FAD-dependent oxidoreductase domain-containing protein 1,Camponotus floridanus,401.5677178,80.3874289,321.1802889,-240.79286,all others,0,0,22.98458333,neither,NA
XLOC_002148,5.67E-45,gi|170037285|ref|XP_001846489.1| FAD oxidoreductase,Culex quinquefasciatus,483.4316748,213.0479131,270.3837617,-57.33584866,all others,0,0,12.99291667,neither,NA
XLOC_002150,NA,,,901.1348401,490.2143781,410.920462,79.29391612,all others,0,0,9.124166667,neither,NA
XLOC_002151,NA,,,1289.512507,769.7125318,519.7999753,249.9125565,all others,0,0,4.43625,neither,NA
XLOC_002152,NA,,,869.790546,454.5616554,415.2288906,39.33276475,all others,0,0,6.15,neither,NA
